"Source:","/home/jmux/Github/spotify-iot-led-driver/iot_leddriver_hw/iot_led_strip_pcb.kicad_sch"
"Date:","Sun 15 Oct 2023 07:37:33 PM PDT"
"Tool:","Eeschema 7.0.7-2.fc37"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","LCSC","Sim.Device","Sim.Params","Sim.Pins","Sim.Type","Vendor"
"11","1","Q1","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","50V 220mA 3.5Ω@10V,220mA 360mW N Channel SOT-23(TO-236) MOSFET","C358381","","","","","https://jlcpcb.com/partdetail/Foshan_Blue_RocketElec-BSS138/C358381"
"12","4","R1, R2, R4, R5","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","10kΩ 0805 Chip Resistor","C17414","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRQ0805F1002TS_C5159708.html"
"13","2","R3, R10","27R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","27Ω 0805 125mW Chip Resistor","C17594","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0805W8F270JT5E_C17594.html"
"14","3","R6, R11, R12","100","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","100Ω 0805 125mW Chip Resistor","C17408","","","","","https://jlcpcb.com/partdetail/18096-0805W8F1000T5E/C17408"
"15","2","R8, R9","5.1k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","5.1kΩ 0805 125mW Chip Resistor","C27834","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html"
"16","1","SW1","RESET","C5117870_lib:GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","https://item.szlcsc.com/902766.html","","","C318884","","","","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"17","1","SW2","FLASH","C5117870_lib:GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","https://item.szlcsc.com/902766.html","","","C318884","","","","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"18","1","U1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","C6186","","","","","https://www.lcsc.com/product-detail/Linear-span-style-background-color-ff0-Voltage-span-Regulators-LDO_UMW-Youtai-Semiconductor-Co-Ltd-AMS1117-3-3_C347222.html"
"19","1","U3","ESP32-S2-SOLO","PCM_Espressif:ESP32-S2-SOLO","Espressif:ESP32-S2-SOLO","https://www.espressif.com/sites/default/files/documentation/esp32-s2-solo_esp32-s2-solo-u_datasheet_en.pdf","","","","","","","",""
"20","1","Y1","Crystal_32Khz","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~","","","","","","","","FILLME"
